id	Date / Heure	1[°C]	2[°C]		
1	07/07/2017 13:58:06	20,90	24,00		
2	07/07/2017 14:58:06	16,50	21,30		
3	07/07/2017 15:58:06	13,50	19,90		
4	07/07/2017 16:58:06	11,00	16,30		
5	07/07/2017 17:58:06	2,40	6,20		
6	07/07/2017 18:58:06	-4,10	-0,80		
7	07/07/2017 19:58:06	-9,00	-6,20		
8	07/07/2017 20:58:06	-10,70	-6,20		
9	07/07/2017 21:58:06	-12,20	-8,30		
10	07/07/2017 22:58:06	-15,00	-12,50		
11	07/07/2017 23:58:06	-17,10	-15,60		
12	08/07/2017 00:58:06	-18,40	-17,90		
13	08/07/2017 01:58:06	-19,70	-19,30		
14	08/07/2017 02:58:06	-21,00	-19,40		
15	08/07/2017 03:58:06	-22,20	-19,80		
16	08/07/2017 04:58:06	-23,20	-21,20		
17	08/07/2017 05:58:06	-24,20	-22,60		
18	08/07/2017 06:58:06	-24,90	-23,80		
19	08/07/2017 07:58:06	-25,60	-24,70		
20	08/07/2017 08:58:06	-26,20	-25,40		
21	08/07/2017 09:58:06	-26,80	-26,00		
22	08/07/2017 10:58:06	-27,30	-26,50		
23	08/07/2017 11:58:06	-27,80	-26,90		
24	08/07/2017 12:58:06	-28,20	-27,30		
25	08/07/2017 13:58:06	-28,40	-27,60		
26	08/07/2017 14:58:06	-28,70	-28,00		
27	08/07/2017 15:58:06	-28,80	-28,30		
28	08/07/2017 16:58:06	-29,00	-28,60		
29	08/07/2017 17:58:06	-29,20	-28,80		
30	08/07/2017 18:58:06	-29,40	-29,00		
31	08/07/2017 19:58:06	-29,50	-29,30		
32	08/07/2017 20:58:06	-29,60	-29,40		
33	08/07/2017 21:58:06	-29,80	-29,60		
34	08/07/2017 22:58:06	-30,00	-29,90		
35	08/07/2017 23:58:06	-30,30	-30,10		
36	09/07/2017 00:58:06	-30,40	-30,20		
37	09/07/2017 01:58:06	-30,50	-30,40		
38	09/07/2017 02:58:06	-30,70	-30,60		
39	09/07/2017 03:58:06	-30,80	-30,70		
40	09/07/2017 04:58:06	-31,00	-30,90		
41	09/07/2017 05:58:06	-31,00	-31,00		
42	09/07/2017 06:58:06	-31,10	-31,00		
43	09/07/2017 07:58:06	-31,20	-31,10		
44	09/07/2017 08:58:06	-31,20	-31,10		
45	09/07/2017 09:58:06	-31,20	-31,20		
46	09/07/2017 10:58:06	-30,90	-30,90		
47	09/07/2017 11:58:06	-30,30	-30,60		
48	09/07/2017 12:58:06	-29,60	-30,40		
49	09/07/2017 13:58:06	-28,90	-30,10		
50	09/07/2017 14:58:06	-28,20	-30,00		
51	09/07/2017 15:58:06	-27,40	-29,80		
52	09/07/2017 16:58:06	-26,70	-29,60		
53	09/07/2017 17:58:06	-26,00	-29,40		
54	09/07/2017 18:58:06	-25,40	-29,30		
55	09/07/2017 19:58:06	-24,80	-29,20		
56	09/07/2017 20:58:06	-24,60	-28,90		
57	09/07/2017 21:58:06	-24,60	-28,90		
58	09/07/2017 22:58:06	-24,30	-28,80		
59	09/07/2017 23:58:06	-24,00	-28,70		
60	10/07/2017 00:58:06	-23,80	-28,40		
61	10/07/2017 01:58:06	-23,90	-28,40		
62	10/07/2017 02:58:06	-23,80	-28,40		
63	10/07/2017 03:58:06	-23,50	-28,30		
64	10/07/2017 04:58:06	-23,00	-27,80		
65	10/07/2017 05:58:06	-23,40	-28,00		
66	10/07/2017 06:58:06	-23,30	-28,00		
67	10/07/2017 07:58:06	-23,00	-28,00		
68	10/07/2017 08:58:06	-22,10	-27,30		
69	10/07/2017 09:58:06	-22,30	-27,50		
70	10/07/2017 10:58:06	-22,30	-27,50		
71	10/07/2017 11:58:06	-22,80	-29,00		
