Date	SAS2(degC)<Average>	SAS1(degC)<Average>	TUNNEL6(degC)<Average>	CHAMBRE8(degC)<Average>	TEMP_EXTERIEURE(degC)<Average>	CHAMBRE9(degC)<Average>	TUNNEL5(degC)<Average>	TEMP_QUAI(degC)<Average>	SDM2(degC)<Average>	CONDUCTIVITE(mS)<Average>	PRESSION BP(Bars)<Average>	PRESSION HP_0(Bars)<Average>	PRESSION HP(Bars)<Average>	COMPTEUR EAU GENERAL(m3)	COMPTEUR EAU SALLE DES MACHINES(m3)
04/07/2017 00:00:00 	16.1000003815	13.6999998093	-26.0403461456	-22.4177227020	17.3338394165	-19.6000003815	-24.4685420990	17.1026229858	28.3815345764	1385.3883056641	-4.2494959831	-6.2499246597	-6.2503323555	5958	47073
03/07/2017 23:50:00 	16.1000003815	13.7004137039	-26.7594432831	-22.5720481873	17.8209075928	-19.6000003815	-25.3171787262	17.1959781647	28.1155738831	1356.7728271484	-4.2494568825	-6.2498126030	-6.2503352165	5958	47073
03/07/2017 23:40:00 	16.1942577362	13.7194166183	-27.9589939117	-22.6716690063	18.2359199524	-19.5666332245	-26.7088298798	17.2133998871	27.9625453949	1300.7083740234	-4.2495007515	-6.2499012947	-6.2503914833	5958	47073
03/07/2017 23:30:00 	16.2000007629	13.7344026566	-27.6771869659	-22.5945339203	18.4969997406	-19.5871524811	-28.3442497253	17.2999992371	28.1531658173	1345.3051757812	-4.2494201660	-6.2499723434	-6.2502927780	5958	47073
03/07/2017 23:20:00 	16.2000007629	13.7926034927	-27.9984664917	-22.7039661407	19.0800342560	-19.3886547089	-30.2853450775	17.3854484558	27.9680862427	1380.5795898438	-4.2494091988	-6.2498927116	-6.2504334450	5958	47073
03/07/2017 23:10:00 	16.2000007629	13.8000001907	-29.9706153870	-22.8858242035	19.3522167206	-19.3661479950	-31.9696674347	17.4703731537	27.5632171631	1356.2409667969	-4.2494106293	-6.2498970032	-6.2503170967	5958	47073
03/07/2017 23:00:00 	16.2000007629	13.7507152557	-31.9449577332	-22.9173583984	19.7323913574	-19.0352516174	-32.9735374451	17.5742111206	27.5000000000	1314.1817626953	-4.2494802475	-6.2498965263	-6.2503976822	5958	47073
03/07/2017 22:50:00 	16.2000007629	13.7129554749	-31.9027862549	-22.5977287292	20.0816078186	-18.9240703583	-33.0114402771	17.6731071472	27.5000000000	1378.9880371094	-4.2494630814	-6.2499203682	-6.2504615784	5958	47073
03/07/2017 22:40:00 	16.2000007629	13.7442626953	-31.8891963959	-22.1983604431	20.2639007568	-18.9287490845	-33.0006217957	17.7292671204	27.4021224976	1390.5487060547	-4.2494754791	-6.2498726845	-6.2506084442	5958	47073
03/07/2017 22:30:00 	16.2000007629	13.7542209625	-31.7151565552	-21.6818752289	20.6071643829	-18.9227676392	-32.8251686096	17.7999992371	27.1841354370	1353.5664062500	-4.2494373322	-6.2498970032	-6.2504925728	5958	47073
03/07/2017 22:20:00 	16.2701282501	13.7509059906	-31.2693176270	-20.9272308350	21.1695766449	-18.9805011749	-32.3522529602	17.8940982819	26.7997074127	1308.6511230469	-4.2494459152	-6.2499241829	-6.2504386902	5958	47073
03/07/2017 22:10:00 	16.2999992371	13.7677021027	-30.6804008484	-20.0471878052	21.7516212463	-18.9691162109	-31.7561588287	17.9335918427	26.4323329926	1416.7872314453	-4.2493662834	-6.2498974800	-6.2502403259	5958	47073
03/07/2017 22:00:00 	16.2999992371	13.8000001907	-31.6386108398	-20.0347995758	22.2022590637	-18.9203643799	-32.7897567749	18	26.4098625183	1355.4873046875	-4.2493247986	-6.2500000000	-6.2502307892	5958	47073
03/07/2017 21:50:00 	16.2999992371	13.7680063248	-31.7483959198	-20.1000003815	22.7355976105	-18.9828910828	-32.9284934998	18.0644359589	26.5325984955	1347.0573730469	-4.2493181229	-6.2500000000	-6.2501549721	5958	47073
03/07/2017 21:40:00 	16.2999992371	13.7052745819	-31.7999992371	-20.1000003815	23.0472507477	-18.9857444763	-33.0754165649	18.1000003815	26.6127052307	1342.0706787109	-4.2493495941	-6.2500000000	-6.2501978874	5958	47073
03/07/2017 21:30:00 	16.2999992371	13.7259702682	-31.7913951874	-20.1000003815	23.5290222168	-19	-33.0999984741	18.1000003815	26.6380424500	1329.7319335938	-4.2493543625	-6.2500000000	-6.2501549721	5958	47073
03/07/2017 21:20:00 	16.2999992371	13.6999998093	-31.7000007629	-20.1000003815	24.0412006378	-18.9787101746	-33.0653839111	18.1933116913	26.6740226746	1314.1965332031	-4.2493324280	-6.2500000000	-6.2502617836	5958	47073
03/07/2017 21:10:00 	16.2999992371	13.6999998093	-31.6558170319	-20.1000003815	24.5195293427	-19	-33.0151062012	18.2000007629	26.7016353607	1284.1223144531	-4.2493176460	-6.2500000000	-6.2502341270	5958	47073
